PubmedID,Title,PublicationDate,NonAcademicAuthors,CompanyAffiliations,CorrespondingAuthorEmail
39843734,Immune evasion through mitochondrial transfer in the tumour microenvironment.,2025 Jan 22,"Ikeda H, Kawase K, Nishi T, Watanabe T, Takenaga K, Inozume T, Ishino T, Aki S, Lin J, Kawashima S, Nagasaki J, Ueda Y, Suzuki S, Makinoshima H, Itami M, Nakamura Y, Tatsumi Y, Suenaga Y, Morinaga T, Honobe-Tabuchi A, Ohnuma T, Kawamura T, Umeda Y, Nakamura Y, Kiniwa Y, Ichihara E, Hayashi H, Ikeda JI, Hanazawa T, Toyooka S, Mano H, Suzuki T, Osawa T, Kawazu M, Togashi Y",,
39843688,Evolving Immunotherapy Strategies in Gastrointestinal Neuroendocrine Neoplasms.,2025 Jan 23,"Urman A, Schonman I, De Jesus-Acosta A",,
39841781,Safety of two-dose schedule of COVID-19 adsorbed inactivated vaccine (CoronaVac; Sinovac/Butantan) and heterologous additional doses of mRNA BNT162b2 (Pfizer/BioNTech) in immunocompromised and immunocompetent individuals.,2025,"Miyaji KT, Ibrahim KY, Infante V, Moreira RM, Santos CFD, Belizário JC, Pinto MIM, Marinho AKBB, Pereira JM, Mello LS, Silva VGLD, Sato PK, Strabelli TMV, Ragiotto L, Pacheco PHTM, Braga PE, Loch AP, Precioso AR, Sartori AMC, França JÍ, Lima MA, Ando MCS, Rodrigues CCM, Song ATW, Lara AN, Belizário AC, Lima AHSB, Zanetti ACB, Paulo ARDSA, Rosa BMDS, Moraes BDGC, Oliveira BR, Picone CM, Aranda CS, Troli CP, Kokron CM, Terrabuio DRB, Abdala E, David Neto E, Nakanishi ÉYS, Lima FMS, Firmino FB, Santos FBAD, Bacal F, Fatobene G, Santana JO, Kalil J, Barbosa J, Gonçalves LP, Otuyama LJ, Pierrotti LC, Compte LCM, Marinho L, Chaer LN, Seguro LF, Azevedo LS, Ueda MA, Terreri MT, Barros MAMT, Grecco O, Sejas ONE, Musqueira PT, Ito RKL, Teixeira SSS, Fidalgo S, Costa SF, Campos SV, Fernandes TH, Rocha VG, Coelho VC",,
39840932,Microfluidics Based Particle and Droplet Generation for Gene and Drug Delivery Approaches.,2025 Feb,"Onan D, Özder M, Sipahi Mİ, Poyraz N, Apaydın C, Erel-Akbaba G, Akbaba H",,
39840832,Immunogenicity of the 9-valent human papillomavirus vaccine: Post hoc analysis from five phase 3 studies.,2025 Dec,"Giuliano AR, Palefsky JM, Goldstone SE, Bornstein J, De Coster I, Guevara AM, Mogensen O, Schilling A, Van Damme P, Vandermeulen C, Ellison MC, Kaplan S, Lin J, Bonawitz R, Luxembourg A",,
39840607,DNA Nanostructures-Based In Situ Cancer Vaccines: Mechanisms and Applications.,2025 Jan 22,"Lin B, Liu Y, Chen Q, Li M, Xu L, Chen Q, Tan Y, Liu Z",,
39840201,"Human Papillomavirus Vaccination in Adult Survivors of Childhood, Adolescent, and Young Adult Cancers: A Missed Opportunity.",2024 Dec,"Dagli CS, Tobo BB, Nair M, Al-Antary N, Tam SH, Osazuwa-Peters N, Adjei Boakye E",,
39840069,Virus-like particle: a nano-platform that delivers cancer antigens to elicit an anti-tumor immune response.,2024,"Ning W, Yan S, Song Y, Xu H, Zhang J, Wang X",,
39840067,"VACCIMEL, an allogeneic melanoma vaccine, efficiently triggers T cell immune responses against neoantigens and alloantigens, as well as against tumor-associated antigens.",2024,"Carri I, Schwab E, Trivino JC, von Euw EM, Nielsen M, Mordoh J, Barrio MM",,
39840027,A Qualitative Study of Attitudes Toward HPV Vaccine Recommendation in Otolaryngology Clinics.,2025 Feb,"Janio EA, Walker C, Steere E, Seaman AT, Askelson N, Pagedar NA",,
